A022n_PN2f_00002-4	reltype=after	'緩ん'	緩んだ空気引き締めろ	['1']
A022n_PN2f_00002-5	reltype=overlap	'続ける'	[JSP]サッカーのワールドカップ（Ｗ杯）へ調整を続ける日本代表は２日、Ｗ杯会場となる神戸市の神戸ウイングスタジアムでホンジュラスとのキリン・カップ第２戦に臨む。	['13']
A022n_PN2f_00002-5	reltype=before	'なる'	[JSP]サッカーのワールドカップ（Ｗ杯）へ調整を続ける日本代表は２日、Ｗ杯会場となる神戸市の神戸ウイングスタジアムでホンジュラスとのキリン・カップ第２戦に臨む。	['24']
A022n_PN2f_00002-6	reltype=after	'神戸'	代表チームは１日、神戸入りし、試合会場で練習した。	['6']
A022n_PN2f_00002-6	reltype=after	'練習'	代表チームは１日、神戸入りし、試合会場で練習した。	['13']
A022n_PN2f_00002-7	reltype=overlap	'同行'	[JSP]練習にはＧＫ川口（ポーツマス）と、チームに同行しているＤＦ森岡（清水）も加わった。	['14']
A022n_PN2f_00002-7	reltype=after	'加わっ'	[JSP]練習にはＧＫ川口（ポーツマス）と、チームに同行しているＤＦ森岡（清水）も加わった。	['24']
A022n_PN2f_00002-9	reltype=after	'練習'	ホンジュラスは神戸ユニバー記念競技場で練習した。	['9']
A022n_PN2f_00002-10	reltype=after	'下し'	[JSP]日本は４月２９日、スロバキアを１‐０で下し、ことしの強化試合の通算成績を３勝１分けとし、順調さを示しているが、トルシエ監督は会見で「この試合は要注意」と警戒した。	['16']
A022n_PN2f_00002-10	reltype=after	'し'	[JSP]日本は４月２９日、スロバキアを１‐０で下し、ことしの強化試合の通算成績を３勝１分けとし、順調さを示しているが、トルシエ監督は会見で「この試合は要注意」と警戒した。	['31']
A022n_PN2f_00002-10	reltype=after	'警戒'	[JSP]日本は４月２９日、スロバキアを１‐０で下し、ことしの強化試合の通算成績を３勝１分けとし、順調さを示しているが、トルシエ監督は会見で「この試合は要注意」と警戒した。	['54']
A022n_PN2f_00002-11	reltype=after	'敗れ'	[JSP]ホンジュラスはＷ杯北中米・カリブ海最終予選で、最終戦にメキシコに敗れ出場を逃した。	['20']
A022n_PN2f_00002-11	reltype=after	'逃し'	[JSP]ホンジュラスはＷ杯北中米・カリブ海最終予選で、最終戦にメキシコに敗れ出場を逃した。	['23']
A022n_PN2f_00002-12	reltype=overlap	'侮れ'	日本には侮れない実力国といえる。	['4']
A022n_PN2f_00002-12	reltype=after	'いえる'	日本には侮れない実力国といえる。	['9']
A022n_PN2f_00002-13	reltype=after	'臨む'	ホンジュラス戦を翌日に控え、練習に臨む（右から）中沢、中村、三都主ら＝神戸ウイングスタジアムで	['10']
A022n_PN2f_00002-15	reltype=after	'見せ'	[JSP]右太ももの肉離れでリハビリ中の森岡が練習に参加、順調な回復ぶりを見せた。	['21']
A022n_PN2f_00002-16	reltype=after	'回す'	[JSP]「ボールを回すくらいで、そんなにハードな練習じゃなかった。（単調なリハビリメニューから）やっと面白くなってきた感じ」と、ボールがけれるところまで回復していることを明かした。	['5']
